"export-plot data (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"03/28/2021 19:52:42:487 +0100"

"MODEL SETTINGS"
"recovery","infectious-capability","face-mask?","random-period?","action-mode","population","death-rate","mobility","incubation"
"14","85","false","false","""3. everyday""","2.5","1","3","7"

"""Statistical plot"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","159","0","2500","true","""Susceptible""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Susceptible""","true","0","1","65","139"
"""Infected""","true","0","1","15","139"
"""Recovered""","true","0","1","95","139"
"""Exposed""","true","0","1","45","139"
"""Dead""","true","0","1","0","139"

"""Susceptible""",,,,"""Infected""",,,,"""Recovered""",,,,"""Exposed""",,,,"""Dead"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","2499","65","true","0","0","15","true","0","0","95","true","0","1","45","true","0","0","0","true"
"1","2499","65","true","1","0","15","true","1","0","95","true","1","1","45","true","1","0","0","true"
"2","2499","65","true","2","0","15","true","2","0","95","true","2","1","45","true","2","0","0","true"
"3","2499","65","true","3","0","15","true","3","0","95","true","3","1","45","true","3","0","0","true"
"4","2499","65","true","4","0","15","true","4","0","95","true","4","1","45","true","4","0","0","true"
"5","2498","65","true","5","0","15","true","5","0","95","true","5","2","45","true","5","0","0","true"
"6","2497","65","true","6","0","15","true","6","0","95","true","6","3","45","true","6","0","0","true"
"7","2496","65","true","7","0","15","true","7","0","95","true","7","4","45","true","7","0","0","true"
"8","2495","65","true","8","1","15","true","8","0","95","true","8","4","45","true","8","0","0","true"
"9","2494","65","true","9","1","15","true","9","0","95","true","9","5","45","true","9","0","0","true"
"10","2492","65","true","10","1","15","true","10","0","95","true","10","7","45","true","10","0","0","true"
"11","2489","65","true","11","1","15","true","11","0","95","true","11","10","45","true","11","0","0","true"
"12","2489","65","true","12","2","15","true","12","0","95","true","12","9","45","true","12","0","0","true"
"13","2481","65","true","13","3","15","true","13","0","95","true","13","16","45","true","13","0","0","true"
"14","2466","65","true","14","4","15","true","14","0","95","true","14","30","45","true","14","0","0","true"
"15","2446","65","true","15","5","15","true","15","0","95","true","15","49","45","true","15","0","0","true"
"16","2430","65","true","16","6","15","true","16","0","95","true","16","64","45","true","16","0","0","true"
"17","2413","65","true","17","8","15","true","17","0","95","true","17","79","45","true","17","0","0","true"
"18","2399","65","true","18","11","15","true","18","0","95","true","18","90","45","true","18","0","0","true"
"19","2392","65","true","19","11","15","true","19","0","95","true","19","97","45","true","19","0","0","true"
"20","2385","65","true","20","18","15","true","20","0","95","true","20","96","45","true","20","1","0","true"
"21","2374","65","true","21","32","15","true","21","0","95","true","21","92","45","true","21","2","0","true"
"22","2370","65","true","22","50","15","true","22","1","95","true","22","76","45","true","22","3","0","true"
"23","2364","65","true","23","66","15","true","23","1","95","true","23","66","45","true","23","3","0","true"
"24","2357","65","true","24","82","15","true","24","1","95","true","24","56","45","true","24","4","0","true"
"25","2353","65","true","25","94","15","true","25","1","95","true","25","46","45","true","25","6","0","true"
"26","2341","65","true","26","100","15","true","26","2","95","true","26","51","45","true","26","6","0","true"
"27","2333","65","true","27","105","15","true","27","3","95","true","27","52","45","true","27","7","0","true"
"28","2320","65","true","28","112","15","true","28","4","95","true","28","54","45","true","28","10","0","true"
"29","2309","65","true","29","115","15","true","29","5","95","true","29","61","45","true","29","10","0","true"
"30","2292","65","true","30","120","15","true","30","6","95","true","30","72","45","true","30","10","0","true"
"31","2274","65","true","31","124","15","true","31","8","95","true","31","83","45","true","31","11","0","true"
"32","2243","65","true","32","124","15","true","32","11","95","true","32","110","45","true","32","12","0","true"
"33","2210","65","true","33","135","15","true","33","11","95","true","33","131","45","true","33","13","0","true"
"34","2156","65","true","34","135","15","true","34","16","95","true","34","177","45","true","34","16","0","true"
"35","2096","65","true","35","136","15","true","35","27","95","true","35","224","45","true","35","17","0","true"
"36","2038","65","true","36","128","15","true","36","45","95","true","36","271","45","true","36","18","0","true"
"37","1964","65","true","37","127","15","true","37","58","95","true","37","328","45","true","37","23","0","true"
"38","1885","65","true","38","128","15","true","38","74","95","true","38","389","45","true","38","24","0","true"
"39","1812","65","true","39","143","15","true","39","85","95","true","39","431","45","true","39","29","0","true"
"40","1753","65","true","40","169","15","true","40","92","95","true","40","457","45","true","40","29","0","true"
"41","1714","65","true","41","217","15","true","41","97","95","true","41","442","45","true","41","30","0","true"
"42","1658","65","true","42","265","15","true","42","107","95","true","42","438","45","true","42","32","0","true"
"43","1616","65","true","43","320","15","true","43","109","95","true","43","422","45","true","43","33","0","true"
"44","1566","65","true","44","381","15","true","44","115","95","true","44","398","45","true","44","40","0","true"
"45","1526","65","true","45","442","15","true","45","122","95","true","45","359","45","true","45","51","0","true"
"46","1480","65","true","46","509","15","true","46","126","95","true","46","332","45","true","46","53","0","true"
"47","1432","65","true","47","549","15","true","47","137","95","true","47","321","45","true","47","61","0","true"
"48","1383","65","true","48","573","15","true","48","144","95","true","48","331","45","true","48","69","0","true"
"49","1348","65","true","49","614","15","true","49","153","95","true","49","310","45","true","49","75","0","true"
"50","1300","65","true","50","642","15","true","50","162","95","true","50","316","45","true","50","80","0","true"
"51","1243","65","true","51","675","15","true","51","175","95","true","51","323","45","true","51","84","0","true"
"52","1176","65","true","52","695","15","true","52","191","95","true","52","350","45","true","52","88","0","true"
"53","1093","65","true","53","711","15","true","53","218","95","true","53","387","45","true","53","91","0","true"
"54","1034","65","true","54","727","15","true","54","245","95","true","54","398","45","true","54","96","0","true"
"55","951","65","true","55","726","15","true","55","292","95","true","55","432","45","true","55","99","0","true"
"56","884","65","true","56","705","15","true","56","342","95","true","56","464","45","true","56","105","0","true"
"57","820","65","true","57","691","15","true","57","396","95","true","57","480","45","true","57","113","0","true"
"58","760","65","true","58","677","15","true","58","460","95","true","58","483","45","true","58","120","0","true"
"59","702","65","true","59","668","15","true","59","528","95","true","59","474","45","true","59","128","0","true"
"60","640","65","true","60","686","15","true","60","591","95","true","60","453","45","true","60","130","0","true"
"61","581","65","true","61","685","15","true","61","644","95","true","61","453","45","true","61","137","0","true"
"62","546","65","true","62","727","15","true","62","678","95","true","62","405","45","true","62","144","0","true"
"63","513","65","true","63","736","15","true","63","726","95","true","63","371","45","true","63","154","0","true"
"64","490","65","true","64","760","15","true","64","760","95","true","64","330","45","true","64","160","0","true"
"65","471","65","true","65","762","15","true","65","805","95","true","65","289","45","true","65","173","0","true"
"66","449","65","true","66","779","15","true","66","839","95","true","66","253","45","true","66","180","0","true"
"67","436","65","true","67","789","15","true","67","881","95","true","67","204","45","true","67","190","0","true"
"68","413","65","true","68","798","15","true","68","924","95","true","68","168","45","true","68","197","0","true"
"69","395","65","true","69","783","15","true","69","964","95","true","69","151","45","true","69","207","0","true"
"70","365","65","true","70","778","15","true","70","997","95","true","70","148","45","true","70","212","0","true"
"71","338","65","true","71","750","15","true","71","1040","95","true","71","152","45","true","71","220","0","true"
"72","304","65","true","72","709","15","true","72","1091","95","true","72","167","45","true","72","229","0","true"
"73","271","65","true","73","665","15","true","73","1150","95","true","73","178","45","true","73","236","0","true"
"74","251","65","true","74","600","15","true","74","1221","95","true","74","185","45","true","74","243","0","true"
"75","228","65","true","75","572","15","true","75","1270","95","true","75","185","45","true","75","245","0","true"
"76","214","65","true","76","510","15","true","76","1342","95","true","76","181","45","true","76","253","0","true"
"77","202","65","true","77","475","15","true","77","1403","95","true","77","163","45","true","77","257","0","true"
"78","187","65","true","78","446","15","true","78","1454","95","true","78","151","45","true","78","262","0","true"
"79","180","65","true","79","424","15","true","79","1507","95","true","79","124","45","true","79","265","0","true"
"80","171","65","true","80","402","15","true","80","1560","95","true","80","100","45","true","80","267","0","true"
"81","167","65","true","81","367","15","true","81","1610","95","true","81","84","45","true","81","272","0","true"
"82","162","65","true","82","340","15","true","82","1658","95","true","82","66","45","true","82","274","0","true"
"83","155","65","true","83","316","15","true","83","1691","95","true","83","59","45","true","83","279","0","true"
"84","153","65","true","84","292","15","true","84","1722","95","true","84","49","45","true","84","284","0","true"
"85","149","65","true","85","284","15","true","85","1743","95","true","85","38","45","true","85","286","0","true"
"86","148","65","true","86","269","15","true","86","1761","95","true","86","32","45","true","86","290","0","true"
"87","146","65","true","87","253","15","true","87","1782","95","true","87","25","45","true","87","294","0","true"
