"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"day-time"
"03/29/2021 11:22:19:596 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12"
"recovery","14","14","14","14","14","14","14","14","14","14","14","14"
"infectious-capability","85","85","85","85","85","85","85","85","85","85","85","85"
"face-mask?","false","false","false","false","false","false","false","false","false","false","false","false"
"random-period?","false","false","false","false","false","false","false","false","false","false","false","false"
"action-mode","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time"
"population","2","2","2","2","5","5","5","5","8","8","8","8"
"death-rate","1","1","1","1","1","1","1","1","1","1","1","1"
"mobility","9","9","9","9","9","9","9","9","9","9","9","9"
"incubation","7","7","7","7","7","7","7","7","7","7","7","7"
"[reporter]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
"[final]","12.95","11.8","11.6","12.75","14.46","14.56","13.02","13.92","13.9625","13.775","14.2125","14.475"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","12.95","11.8","11.6","12.75","14.46","14.56","13.02","13.92","13.9625","13.775","14.2125","14.475"
"[mean]","6.575423728813565","7.303418803418788","5.157602339181287","6.07247191011236","6.202921348314605","5.949902912621356","5.16736842105263","6.328222222222222","5.902884615384613","5.451865671641789","6.0028409090909065","5.683441558441561"
"[steps]","176","233","170","177","88","102","94","89","64","66","65","76"

"[all run data]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0.0125","0","0","0"
,"0","0","0","0","0","0","0","0","0.0125","0","0","0"
,"0","0","0","0","0","0","0","0","0.0125","0.0125","0","0"
,"0","0","0","0","0","0","0","0","0.0125","0.0125","0","0"
,"0","0","0","0","0","0","0","0","0.0125","0.0125","0.0125","0"
,"0","0","0","0","0","0","0.02","0","0.0125","0.0125","0.0125","0"
,"0","0","0","0","0","0","0.02","0","0.025","0.0125","0.0125","0"
,"0","0","0","0","0","0","0.02","0","0.05","0.025","0.0125","0"
,"0","0","0","0","0","0","0.02","0","0.0875","0.025","0.025","0"
,"0","0","0","0","0","0","0.02","0","0.125","0.0375","0.075","0"
,"0","0","0","0","0.02","0","0.02","0","0.1875","0.05","0.15","0"
,"0","0","0","0","0.02","0","0.02","0.04","0.2875","0.05","0.1625","0"
,"0","0","0","0","0.04","0","0.02","0.04","0.4125","0.0625","0.25","0"
,"0","0","0","0","0.06","0","0.04","0.04","0.5","0.1","0.375","0.0125"
,"0","0","0","0","0.08","0","0.04","0.08","0.6875","0.1375","0.55","0.0125"
,"0","0","0","0","0.12","0","0.04","0.14","0.85","0.3","0.75","0.0375"
,"0","0","0.05","0","0.12","0","0.04","0.14","1.05","0.3875","1.0375","0.0625"
,"0","0","0.1","0.05","0.14","0","0.06","0.18","1.3625","0.475","1.325","0.075"
,"0","0","0.15","0.05","0.18","0.02","0.1","0.24","1.7125","0.8","1.6375","0.1"
,"0","0.05","0.15","0.05","0.24","0.02","0.1","0.32","2.25","1.125","2.2125","0.1625"
,"0","0.05","0.15","0.05","0.28","0.06","0.1","0.34","2.875","1.425","2.7375","0.2625"
,"0","0.05","0.15","0.05","0.32","0.06","0.12","0.44","3.6875","1.825","3.2375","0.35"
