"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"day-time"
"03/29/2021 11:22:03:424 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","recovery","infectious-capability","face-mask?","random-period?","action-mode","population","death-rate","mobility","incubation","[step]","100 * count turtles with [color = white] / (population * 1000)"
"1","14","85","false","false","1. day-time","2","1","9","7","0","0"
"1","14","85","false","false","1. day-time","2","1","9","7","1","0"
"1","14","85","false","false","1. day-time","2","1","9","7","2","0"
"1","14","85","false","false","1. day-time","2","1","9","7","3","0"
"1","14","85","false","false","1. day-time","2","1","9","7","4","0"
"1","14","85","false","false","1. day-time","2","1","9","7","5","0"
"1","14","85","false","false","1. day-time","2","1","9","7","6","0"
"1","14","85","false","false","1. day-time","2","1","9","7","7","0"
"1","14","85","false","false","1. day-time","2","1","9","7","8","0"
"1","14","85","false","false","1. day-time","2","1","9","7","9","0"
"1","14","85","false","false","1. day-time","2","1","9","7","10","0"
"1","14","85","false","false","1. day-time","2","1","9","7","11","0"
"1","14","85","false","false","1. day-time","2","1","9","7","12","0"
"1","14","85","false","false","1. day-time","2","1","9","7","13","0"
"1","14","85","false","false","1. day-time","2","1","9","7","14","0"
"1","14","85","false","false","1. day-time","2","1","9","7","15","0"
"1","14","85","false","false","1. day-time","2","1","9","7","16","0"
"1","14","85","false","false","1. day-time","2","1","9","7","17","0"
"1","14","85","false","false","1. day-time","2","1","9","7","18","0"
"1","14","85","false","false","1. day-time","2","1","9","7","19","0"
"1","14","85","false","false","1. day-time","2","1","9","7","20","0"
"1","14","85","false","false","1. day-time","2","1","9","7","21","0"
"1","14","85","false","false","1. day-time","2","1","9","7","22","0"
"1","14","85","false","false","1. day-time","2","1","9","7","23","0"
"1","14","85","false","false","1. day-time","2","1","9","7","24","0"
"1","14","85","false","false","1. day-time","2","1","9","7","25","0"
"1","14","85","false","false","1. day-time","2","1","9","7","26","0"
"1","14","85","false","false","1. day-time","2","1","9","7","27","0"
"1","14","85","false","false","1. day-time","2","1","9","7","28","0"
"1","14","85","false","false","1. day-time","2","1","9","7","29","0"
"1","14","85","false","false","1. day-time","2","1","9","7","30","0"
"1","14","85","false","false","1. day-time","2","1","9","7","31","0"
"1","14","85","false","false","1. day-time","2","1","9","7","32","0"
"1","14","85","false","false","1. day-time","2","1","9","7","33","0"
"1","14","85","false","false","1. day-time","2","1","9","7","34","0.05"
"1","14","85","false","false","1. day-time","2","1","9","7","35","0.05"
"1","14","85","false","false","1. day-time","2","1","9","7","36","0.05"
"1","14","85","false","false","1. day-time","2","1","9","7","37","0.05"
"1","14","85","false","false","1. day-time","2","1","9","7","38","0.05"
"1","14","85","false","false","1. day-time","2","1","9","7","39","0.1"
"1","14","85","false","false","1. day-time","2","1","9","7","40","0.1"
"1","14","85","false","false","1. day-time","2","1","9","7","41","0.1"
