"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"experiment"
"03/29/2021 23:08:08:877 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","recovery","infectious-capability","face-mask?","random-period?","action-mode","population","death-rate","mobility","incubation","[step]","100 * count turtles with [color = white] / (population * 1000)"
"1","14","85","false","false","2. night-time","8","1","6","7","0","0"
"1","14","85","false","false","2. night-time","8","1","6","7","1","0"
"1","14","85","false","false","2. night-time","8","1","6","7","2","0"
"1","14","85","false","false","2. night-time","8","1","6","7","3","0"
"1","14","85","false","false","2. night-time","8","1","6","7","4","0"
"1","14","85","false","false","2. night-time","8","1","6","7","5","0"
"1","14","85","false","false","2. night-time","8","1","6","7","6","0"
"1","14","85","false","false","2. night-time","8","1","6","7","7","0"
"1","14","85","false","false","2. night-time","8","1","6","7","8","0"
"1","14","85","false","false","2. night-time","8","1","6","7","9","0"
"1","14","85","false","false","2. night-time","8","1","6","7","10","0"
"1","14","85","false","false","2. night-time","8","1","6","7","11","0"
"1","14","85","false","false","2. night-time","8","1","6","7","12","0"
"1","14","85","false","false","2. night-time","8","1","6","7","13","0.025"
"1","14","85","false","false","2. night-time","8","1","6","7","14","0.0375"
"1","14","85","false","false","2. night-time","8","1","6","7","15","0.075"
"1","14","85","false","false","2. night-time","8","1","6","7","16","0.1125"
"1","14","85","false","false","2. night-time","8","1","6","7","17","0.1625"
"1","14","85","false","false","2. night-time","8","1","6","7","18","0.1875"
"1","14","85","false","false","2. night-time","8","1","6","7","19","0.2375"
"1","14","85","false","false","2. night-time","8","1","6","7","20","0.3"
"1","14","85","false","false","2. night-time","8","1","6","7","21","0.4"
"1","14","85","false","false","2. night-time","8","1","6","7","22","0.45"
"1","14","85","false","false","2. night-time","8","1","6","7","23","0.575"
"1","14","85","false","false","2. night-time","8","1","6","7","24","0.6625"
"1","14","85","false","false","2. night-time","8","1","6","7","25","0.7"
"1","14","85","false","false","2. night-time","8","1","6","7","26","0.7625"
"1","14","85","false","false","2. night-time","8","1","6","7","27","0.8375"
"1","14","85","false","false","2. night-time","8","1","6","7","28","0.8625"
"1","14","85","false","false","2. night-time","8","1","6","7","29","0.95"
"1","14","85","false","false","2. night-time","8","1","6","7","30","0.9875"
"1","14","85","false","false","2. night-time","8","1","6","7","31","1.075"
"1","14","85","false","false","2. night-time","8","1","6","7","32","1.1125"
"1","14","85","false","false","2. night-time","8","1","6","7","33","1.1625"
"1","14","85","false","false","2. night-time","8","1","6","7","34","1.225"
"1","14","85","false","false","2. night-time","8","1","6","7","35","1.25"
"1","14","85","false","false","2. night-time","8","1","6","7","36","1.2625"
"1","14","85","false","false","2. night-time","8","1","6","7","37","1.2625"
"1","14","85","false","false","2. night-time","8","1","6","7","38","1.275"
"1","14","85","false","false","2. night-time","8","1","6","7","39","1.3"
"1","14","85","false","false","2. night-time","8","1","6","7","40","1.325"
"1","14","85","false","false","2. night-time","8","1","6","7","41","1.3375"
"1","14","85","false","false","2. night-time","8","1","6","7","42","1.35"
"1","14","85","false","false","2. night-time","8","1","6","7","43","1.3625"
"1","14","85","false","false","2. night-time","8","1","6","7","44","1.3625"
"1","14","85","false","false","2. night-time","8","1","6","7","45","1.4125"
"1","14","85","false","false","2. night-time","8","1","6","7","46","1.525"
"1","14","85","false","false","2. night-time","8","1","6","7","47","1.6"
"1","14","85","false","false","2. night-time","8","1","6","7","48","1.7"
"1","14","85","false","false","2. night-time","8","1","6","7","49","1.7875"
"1","14","85","false","false","2. night-time","8","1","6","7","50","1.8625"
"1","14","85","false","false","2. night-time","8","1","6","7","51","1.9375"
"1","14","85","false","false","2. night-time","8","1","6","7","52","2.0125"
"1","14","85","false","false","2. night-time","8","1","6","7","53","2.125"
"1","14","85","false","false","2. night-time","8","1","6","7","54","2.2375"
"1","14","85","false","false","2. night-time","8","1","6","7","55","2.3625"
"1","14","85","false","false","2. night-time","8","1","6","7","56","2.4375"
