"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"final_abm"
"03/28/2021 23:40:21:299 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","1","2","3","4","5","6","7","8"
"recovery","14","14","14","14","14","14","14","14"
"infectious-capability","85","85","85","85","85","85","85","85"
"face-mask?","false","false","false","false","false","false","false","false"
"random-period?","false","false","false","false","false","false","false","false"
"action-mode","3. everyday","3. everyday","3. everyday","3. everyday","3. everyday","3. everyday","3. everyday","3. everyday"
"population","5","5","5","5","8","8","8","8"
"death-rate","1","1","1","1","1","1","1","1"
"mobility","9","9","9","9","9","9","9","9"
"incubation","7","7","7","7","7","7","7","7"
"[reporter]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
"[final]","13.52","13.26","13.98","13.78","13.325","14.1625","13.7625","14.1"
"[min]","0","0","0","0","0","0","0","0"
"[max]","13.52","13.26","13.98","13.78","13.325","14.1625","13.7625","14.1"
"[mean]","6.637441860465114","5.837027027027027","5.972658227848105","7.9802127659574404","7.009375","6.748063380281694","6.368833333333332","7.565189873417721"
"[steps]","85","73","78","93","79","70","74","78"

"[all run data]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0"
,"0","0","0","0","0.0125","0","0","0"
,"0","0","0","0","0.0125","0","0","0"
,"0","0","0","0","0.0125","0","0","0"
,"0.02","0","0","0","0.0125","0","0","0"
,"0.02","0","0","0","0.0125","0","0","0"
,"0.02","0","0","0","0.0125","0","0","0"
,"0.02","0","0","0","0.025","0","0","0"
,"0.02","0","0","0","0.025","0","0","0.0125"
,"0.02","0","0","0","0.025","0","0.0125","0.0125"
,"0.02","0","0","0","0.0375","0","0.025","0.0125"
,"0.02","0.02","0","0.02","0.0375","0.0125","0.025","0.0125"
,"0.04","0.04","0","0.02","0.0375","0.0625","0.025","0.025"
,"0.04","0.04","0","0.08","0.075","0.1125","0.05","0.0625"
,"0.04","0.06","0","0.18","0.1625","0.175","0.0625","0.1625"
,"0.06","0.08","0.02","0.22","0.25","0.3125","0.125","0.3"
,"0.1","0.14","0.02","0.36","0.4375","0.5125","0.2375","0.475"
,"0.16","0.2","0.02","0.52","0.5625","0.775","0.3","0.7625"
,"0.2","0.28","0.02","0.74","0.7625","1.025","0.4375","1"
,"0.26","0.36","0.04","0.9","0.95","1.35","0.4875","1.3625"
,"0.42","0.5","0.12","1.08","1.1875","1.65","0.65","1.7875"
,"0.5","0.66","0.18","1.4","1.4125","1.9875","0.825","2.2375"
,"0.6","1","0.26","1.72","1.5875","2.325","1","2.5125"
,"0.72","1.32","0.32","2.04","1.975","2.65","1.175","2.9875"
,"0.94","1.56","0.36","2.52","2.4625","3.1875","1.4875","3.45"
,"1.16","1.88","0.48","2.8","2.8625","3.7375","1.8625","4.1125"
,"1.38","2.2","0.6","3.24","3.45","4.2875","2.2375","4.7875"
,"1.66","2.62","0.74","3.78","4","4.9375","2.65","5.3875"
,"1.9","3","0.9","4.32","4.85","5.65","3.175","6.125"
,"2.22","3.46","1.18","4.84","5.6","6.4","3.675","6.7625"
,"2.56","3.8","1.44","5.48","6.3375","7.1625","4.3","7.625"
,"3.06","4.26","1.84","5.94","7.1375","7.775","5.0375","8.475"
,"3.56","5.1","2.3","6.62","7.75","8.4875","6","9.05"
,"4.02","5.56","2.94","7.28","8.4125","9.325","6.875","9.6125"
