"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"final_abm"
"03/28/2021 23:37:11:541 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","recovery","infectious-capability","face-mask?","random-period?","action-mode","population","death-rate","mobility","incubation","[step]","100 * count turtles with [color = white] / (population * 1000)"
"1","14","85","false","false","3. everyday","5","1","9","7","0","0"
"1","14","85","false","false","3. everyday","5","1","9","7","1","0"
"1","14","85","false","false","3. everyday","5","1","9","7","2","0"
"1","14","85","false","false","3. everyday","5","1","9","7","3","0"
"1","14","85","false","false","3. everyday","5","1","9","7","4","0"
"1","14","85","false","false","3. everyday","5","1","9","7","5","0"
"1","14","85","false","false","3. everyday","5","1","9","7","6","0"
"1","14","85","false","false","3. everyday","5","1","9","7","7","0"
"1","14","85","false","false","3. everyday","5","1","9","7","8","0"
"1","14","85","false","false","3. everyday","5","1","9","7","9","0"
"1","14","85","false","false","3. everyday","5","1","9","7","10","0"
"1","14","85","false","false","3. everyday","5","1","9","7","11","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","12","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","13","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","14","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","15","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","16","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","17","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","18","0.02"
"1","14","85","false","false","3. everyday","5","1","9","7","19","0.04"
"1","14","85","false","false","3. everyday","5","1","9","7","20","0.04"
"1","14","85","false","false","3. everyday","5","1","9","7","21","0.04"
"1","14","85","false","false","3. everyday","5","1","9","7","22","0.06"
"1","14","85","false","false","3. everyday","5","1","9","7","23","0.1"
"1","14","85","false","false","3. everyday","5","1","9","7","24","0.16"
"1","14","85","false","false","3. everyday","5","1","9","7","25","0.2"
"1","14","85","false","false","3. everyday","5","1","9","7","26","0.26"
"1","14","85","false","false","3. everyday","5","1","9","7","27","0.42"
"1","14","85","false","false","3. everyday","5","1","9","7","28","0.5"
"1","14","85","false","false","3. everyday","5","1","9","7","29","0.6"
"1","14","85","false","false","3. everyday","5","1","9","7","30","0.72"
"1","14","85","false","false","3. everyday","5","1","9","7","31","0.94"
"1","14","85","false","false","3. everyday","5","1","9","7","32","1.16"
"1","14","85","false","false","3. everyday","5","1","9","7","33","1.38"
"1","14","85","false","false","3. everyday","5","1","9","7","34","1.66"
"1","14","85","false","false","3. everyday","5","1","9","7","35","1.9"
"1","14","85","false","false","3. everyday","5","1","9","7","36","2.22"
"1","14","85","false","false","3. everyday","5","1","9","7","37","2.56"
"1","14","85","false","false","3. everyday","5","1","9","7","38","3.06"
"1","14","85","false","false","3. everyday","5","1","9","7","39","3.56"
"1","14","85","false","false","3. everyday","5","1","9","7","40","4.02"
"1","14","85","false","false","3. everyday","5","1","9","7","41","4.62"
"1","14","85","false","false","3. everyday","5","1","9","7","42","5.62"
"1","14","85","false","false","3. everyday","5","1","9","7","43","6.32"
"1","14","85","false","false","3. everyday","5","1","9","7","44","7.26"
"1","14","85","false","false","3. everyday","5","1","9","7","45","7.9"
"1","14","85","false","false","3. everyday","5","1","9","7","46","8.6"
"1","14","85","false","false","3. everyday","5","1","9","7","47","9.26"
"1","14","85","false","false","3. everyday","5","1","9","7","48","9.78"
"1","14","85","false","false","3. everyday","5","1","9","7","49","10.58"
"1","14","85","false","false","3. everyday","5","1","9","7","50","11.08"
"1","14","85","false","false","3. everyday","5","1","9","7","51","11.56"
"1","14","85","false","false","3. everyday","5","1","9","7","52","11.94"
"1","14","85","false","false","3. everyday","5","1","9","7","53","12.34"
"1","14","85","false","false","3. everyday","5","1","9","7","54","12.68"
"1","14","85","false","false","3. everyday","5","1","9","7","55","12.78"
"1","14","85","false","false","3. everyday","5","1","9","7","56","12.94"
"1","14","85","false","false","3. everyday","5","1","9","7","57","13.04"
"1","14","85","false","false","3. everyday","5","1","9","7","58","13.12"
"1","14","85","false","false","3. everyday","5","1","9","7","59","13.2"
"1","14","85","false","false","3. everyday","5","1","9","7","60","13.28"
"1","14","85","false","false","3. everyday","5","1","9","7","61","13.32"
"1","14","85","false","false","3. everyday","5","1","9","7","62","13.36"
"1","14","85","false","false","3. everyday","5","1","9","7","63","13.36"
"1","14","85","false","false","3. everyday","5","1","9","7","64","13.42"
"1","14","85","false","false","3. everyday","5","1","9","7","65","13.42"
"1","14","85","false","false","3. everyday","5","1","9","7","66","13.48"
"1","14","85","false","false","3. everyday","5","1","9","7","67","13.48"
"1","14","85","false","false","3. everyday","5","1","9","7","68","13.5"
"1","14","85","false","false","3. everyday","5","1","9","7","69","13.5"
"1","14","85","false","false","3. everyday","5","1","9","7","70","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","71","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","72","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","73","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","74","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","75","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","76","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","77","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","78","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","79","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","80","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","81","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","82","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","83","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","84","13.52"
"1","14","85","false","false","3. everyday","5","1","9","7","85","13.52"
